Customer,InvoiceDay,Count
266,2011-01-12,1
266,2011-02-07,1
266,2011-06-03,1
266,2011-10-13,1
332,2011-02-17,1
332,2011-04-28,1
332,2011-07-07,1
332,2011-08-11,1
332,2011-09-28,1
332,2011-10-11,1
332,2011-10-26,1
332,2011-10-28,1
332,2011-11-04,1
332,2011-12-06,1
426,2011-08-02,1
247,2011-01-06,1
247,2011-01-10,1
247,2011-02-15,1
247,2011-03-03,1
247,2011-04-01,1
247,2011-05-17,1
247,2011-05-20,1
247,2011-06-15,2
247,2011-07-13,2
247,2011-07-19,1
247,2011-08-18,1
247,2011-09-01,2
247,2011-10-05,2
247,2011-11-02,1
247,2011-11-03,1
247,2011-11-15,2
344,2011-03-01,3
344,2011-03-20,1
344,2011-03-30,1
344,2011-04-11,1
344,2011-07-05,1
344,2011-08-11,1
344,2011-11-14,1
5,2010-12-01,1
5,2010-12-17,1
5,2011-01-28,1
5,2011-02-17,1
5,2011-02-27,1
5,2011-05-12,1
5,2011-05-23,1
5,2011-07-19,1
5,2011-07-24,1
5,2011-07-26,1
5,2011-08-12,1
5,2011-10-06,2
5,2011-10-10,1
5,2011-11-04,1
16,2010-12-01,1
16,2010-12-08,1
16,2011-09-09,1
16,2011-10-27,1
16,2011-11-30,1
16,2011-12-09,2
287,2011-01-19,1
287,2011-05-05,1
287,2011-10-05,1
287,2011-11-18,1
287,2011-11-29,1
170,2010-12-10,2
170,2010-12-17,2
170,2011-01-13,1
170,2011-02-03,1
170,2011-02-23,1
170,2011-03-18,2
170,2011-04-04,2
170,2011-05-13,2
170,2011-07-04,1
170,2011-07-07,2
170,2011-08-22,1
170,2011-08-24,2
170,2011-09-16,1
170,2011-09-22,1
170,2011-10-05,2
170,2011-11-03,1
170,2011-11-17,1
170,2011-11-24,2
170,2011-11-29,2
170,2011-12-07,1
84,2010-12-05,1
84,2011-01-26,1
84,2011-03-17,1
84,2011-06-13,1
84,2011-07-24,1
84,2011-10-19,1
84,2011-11-07,1
275,2011-01-14,2
275,2011-01-26,1
275,2011-02-25,1
275,2011-03-18,1
275,2011-03-28,1
275,2011-05-17,1
275,2011-05-23,1
275,2011-06-21,1
275,2011-06-26,1
275,2011-07-12,1
275,2011-07-25,1
275,2011-09-02,1
275,2011-10-11,1
275,2011-10-17,1
275,2011-10-20,1
275,2011-11-15,1
275,2011-11-22,1
198,2010-12-13,1
198,2011-01-31,1
198,2011-02-14,1
198,2011-04-19,1
198,2011-05-05,1
198,2011-07-21,1
198,2011-09-16,1
198,2011-10-25,2
198,2011-11-14,1
198,2011-11-24,1
327,2011-02-11,1
327,2011-04-14,1
327,2011-08-31,1
327,2011-10-07,1
327,2011-10-14,1
327,2011-11-17,1
154,2010-12-09,1
154,2010-12-20,1
154,2011-01-07,1
154,2011-03-28,2
154,2011-05-19,2
154,2011-06-13,1
154,2011-10-05,1
154,2011-11-17,1
252,2011-01-07,1
252,2011-06-16,1
252,2011-08-28,1
252,2011-08-31,1
252,2011-11-04,1
252,2011-11-07,1
274,2011-01-14,1
274,2011-05-09,1
274,2011-06-20,1
274,2011-07-24,1
274,2011-08-31,1
274,2011-09-07,1
274,2011-11-02,1
274,2011-11-14,1
274,2011-11-22,1
274,2011-12-04,1
409,2011-06-02,1
409,2011-08-05,1
409,2011-09-27,1
409,2011-11-11,2
443,2011-10-11,1
443,2011-10-27,2
259,2011-01-10,1
259,2011-01-27,1
259,2011-03-22,1
259,2011-11-17,1
191,2010-12-13,1
191,2011-01-11,1
191,2011-02-01,1
191,2011-03-24,1
191,2011-05-04,1
191,2011-05-31,1
191,2011-06-06,1
191,2011-07-07,1
191,2011-07-25,1
191,2011-08-24,1
191,2011-09-08,1
191,2011-09-19,1
191,2011-09-23,1
191,2011-10-07,1
191,2011-10-18,1
191,2011-11-08,1
191,2011-11-20,1
71,2010-12-05,1
71,2010-12-07,1
71,2011-02-04,1
71,2011-05-22,1
71,2011-06-08,2
71,2011-06-13,1
71,2011-08-23,1
71,2011-09-04,1
71,2011-11-17,1
1,2010-12-01,1
1,2011-01-07,1
1,2011-02-10,1
1,2011-03-11,1
1,2011-05-23,1
1,2011-06-12,1
1,2011-06-21,1
1,2011-07-08,1
1,2011-08-25,1
1,2011-09-21,1
1,2011-09-30,1
1,2011-10-12,1
