Date,Buy_Count
2010-12-01,136
2010-12-02,143
2010-12-03,73
2010-12-05,88
2010-12-06,108
2010-12-07,85
2010-12-08,123
2010-12-09,132
2010-12-10,81
2010-12-12,44
2010-12-13,70
2010-12-14,92
2010-12-15,74
2010-12-16,121
2010-12-17,67
2010-12-19,23
2010-12-20,69
2010-12-21,56
2010-12-22,17
2010-12-23,27
2011-01-04,40
2011-01-05,56
2011-01-06,50
2011-01-07,53
2011-01-09,48
2011-01-10,44
2011-01-11,63
2011-01-12,46
2011-01-13,44
2011-01-14,47
2011-01-16,25
2011-01-17,51
2011-01-18,41
2011-01-19,35
2011-01-20,40
2011-01-21,39
2011-01-23,27
2011-01-24,53
2011-01-25,67
2011-01-26,57
2011-01-27,56
2011-01-28,52
2011-01-30,24
2011-01-31,62
2011-02-01,66
2011-02-02,65
2011-02-03,48
2011-02-04,58
2011-02-06,11
2011-02-07,42
2011-02-08,50
2011-02-09,29
2011-02-10,42
2011-02-11,47
2011-02-13,20
2011-02-14,42
2011-02-15,59
2011-02-16,63
2011-02-17,69
2011-02-18,42
2011-02-20,26
2011-02-21,38
2011-02-22,52
2011-02-23,63
2011-02-24,55
2011-02-25,49
2011-02-27,33
2011-02-28,57
2011-03-01,62
2011-03-02,43
2011-03-03,51
2011-03-04,51
2011-03-06,27
2011-03-07,69
2011-03-08,49
2011-03-09,57
2011-03-10,62
2011-03-11,55
2011-03-13,16
2011-03-14,50
2011-03-15,54
2011-03-16,52
2011-03-17,62
2011-03-18,64
2011-03-20,60
2011-03-21,53
2011-03-22,61
2011-03-23,78
2011-03-24,73
2011-03-25,58
2011-03-27,32
2011-03-28,72
2011-03-29,67
2011-03-30,84
2011-03-31,69
2011-04-01,81
2011-04-03,20
2011-04-04,59
2011-04-05,57
2011-04-06,50
2011-04-07,64
2011-04-08,85
2011-04-10,32
2011-04-11,64
2011-04-12,62
2011-04-13,60
2011-04-14,86
2011-04-15,56
2011-04-17,42
2011-04-18,72
2011-04-19,59
2011-04-20,65
2011-04-21,97
2011-04-26,72
2011-04-27,73
2011-04-28,62
2011-05-01,18
2011-05-03,73
2011-05-04,65
2011-05-05,92
2011-05-06,89
2011-05-08,63
2011-05-09,72
2011-05-10,96
2011-05-11,80
2011-05-12,86
2011-05-13,74
2011-05-15,31
2011-05-16,69
2011-05-17,84
2011-05-18,79
2011-05-19,102
2011-05-20,72
2011-05-22,61
2011-05-23,71
2011-05-24,71
2011-05-25,71
2011-05-26,68
2011-05-27,66
2011-05-29,24
2011-05-31,54
2011-06-01,42
2011-06-02,54
2011-06-03,45
2011-06-05,67
2011-06-06,57
2011-06-07,78
2011-06-08,99
2011-06-09,88
2011-06-10,56
2011-06-12,39
2011-06-13,59
2011-06-14,57
2011-06-15,70
2011-06-16,85
2011-06-17,55
2011-06-19,60
2011-06-20,78
2011-06-21,56
2011-06-22,60
2011-06-23,73
2011-06-24,51
2011-06-26,26
2011-06-27,46
2011-06-28,62
2011-06-29,43
2011-06-30,70
2011-07-01,52
2011-07-03,25
2011-07-04,53
2011-07-05,77
2011-07-06,71
2011-07-07,78
2011-07-08,67
2011-07-10,24
2011-07-11,55
2011-07-12,54
2011-07-13,59
2011-07-14,73
2011-07-15,45
2011-07-17,51
2011-07-18,80
2011-07-19,69
2011-07-20,58
2011-07-21,80
2011-07-22,44
2011-07-24,58
2011-07-25,59
2011-07-26,59
2011-07-27,55
2011-07-28,87
2011-07-29,65
2011-07-31,42
2011-08-01,40
2011-08-02,44
2011-08-03,67
2011-08-04,82
2011-08-05,55
2011-08-07,30
2011-08-08,41
2011-08-09,42
2011-08-10,49
2011-08-11,71
2011-08-12,56
2011-08-14,25
2011-08-15,49
2011-08-16,57
2011-08-17,55
2011-08-18,71
2011-08-19,56
2011-08-21,39
2011-08-22,65
2011-08-23,64
2011-08-24,78
2011-08-25,75
2011-08-26,51
2011-08-28,37
2011-08-30,43
2011-08-31,65
2011-09-01,77
2011-09-02,79
2011-09-04,50
2011-09-05,72
2011-09-06,64
2011-09-07,54
2011-09-08,78
2011-09-09,62
2011-09-11,75
2011-09-12,73
2011-09-13,73
2011-09-14,69
2011-09-15,84
2011-09-16,60
2011-09-18,27
2011-09-19,76
2011-09-20,71
2011-09-21,76
2011-09-22,115
2011-09-23,68
2011-09-25,75
2011-09-26,67
2011-09-27,83
2011-09-28,85
2011-09-29,107
2011-09-30,76
2011-10-02,35
2011-10-03,70
2011-10-04,86
2011-10-05,99
2011-10-06,137
2011-10-07,92
2011-10-09,39
2011-10-10,103
2011-10-11,86
2011-10-12,94
2011-10-13,79
2011-10-14,77
2011-10-16,35
2011-10-17,90
2011-10-18,93
2011-10-19,86
2011-10-20,89
2011-10-21,65
2011-10-23,42
2011-10-24,84
2011-10-25,89
2011-10-26,97
2011-10-27,108
2011-10-28,83
2011-10-30,96
2011-10-31,75
2011-11-01,85
2011-11-02,100
2011-11-03,105
2011-11-04,96
2011-11-06,102
2011-11-07,94
2011-11-08,109
2011-11-09,119
2011-11-10,134
2011-11-11,105
2011-11-13,87
2011-11-14,114
2011-11-15,119
2011-11-16,137
2011-11-17,140
2011-11-18,117
2011-11-20,100
2011-11-21,103
2011-11-22,151
2011-11-23,131
2011-11-24,123
2011-11-25,88
2011-11-27,58
2011-11-28,115
2011-11-29,138
2011-11-30,114
2011-12-01,121
2011-12-02,123
2011-12-04,68
2011-12-05,132
2011-12-06,116
2011-12-07,112
2011-12-08,123
2011-12-09,44
